id,name,state_id
res_country_city_170,延边朝鲜族自治州,吉林省
res_country_city_171,常州市,江苏省
res_country_city_172,淮安市,江苏省
res_country_city_173,连云港市,江苏省
res_country_city_174,南京市,江苏省
res_country_city_175,南通市,江苏省
res_country_city_176,苏州市,江苏省
res_country_city_177,宿迁市,江苏省
res_country_city_178,泰州市,江苏省
res_country_city_179,无锡市,江苏省
res_country_city_180,徐州市,江苏省
res_country_city_181,盐城市,江苏省
res_country_city_182,扬州市,江苏省
res_country_city_183,镇江市,江苏省
res_country_city_184,抚州市,江西省
res_country_city_185,赣州市,江西省
res_country_city_186,吉安市,江西省
res_country_city_187,景德镇市,江西省
res_country_city_188,九江市,江西省
res_country_city_189,南昌市,江西省
res_country_city_190,萍乡市,江西省
res_country_city_191,上饶市,江西省
res_country_city_192,新余市,江西省
res_country_city_193,宜春市,江西省
res_country_city_194,鹰潭市,江西省
res_country_city_195,鞍山市,辽宁省
res_country_city_196,本溪市,辽宁省
res_country_city_197,朝阳市,辽宁省
res_country_city_198,大连市,辽宁省
res_country_city_199,丹东市,辽宁省
res_country_city_200,抚顺市,辽宁省
res_country_city_201,阜新市,辽宁省
res_country_city_202,葫芦岛市,辽宁省
res_country_city_203,金普新区,辽宁省
res_country_city_204,锦州市,辽宁省
res_country_city_205,辽阳市,辽宁省
res_country_city_206,盘锦市,辽宁省
res_country_city_207,沈阳市,辽宁省
res_country_city_208,铁岭市,辽宁省
res_country_city_209,营口市,辽宁省
res_country_city_210,阿拉善盟,内蒙古自治区
res_country_city_211,巴彦淖尔市,内蒙古自治区
res_country_city_212,包头市,内蒙古自治区
res_country_city_213,赤峰市,内蒙古自治区
res_country_city_214,鄂尔多斯市,内蒙古自治区
res_country_city_215,呼和浩特市,内蒙古自治区
res_country_city_216,呼伦贝尔市,内蒙古自治区
res_country_city_217,通辽市,内蒙古自治区
res_country_city_218,乌海市,内蒙古自治区
res_country_city_219,乌兰察布市,内蒙古自治区
res_country_city_220,锡林郭勒盟,内蒙古自治区
res_country_city_221,兴安盟,内蒙古自治区
res_country_city_222,固原市,宁夏回族自治区
res_country_city_223,石嘴山市,宁夏回族自治区
res_country_city_224,吴忠市,宁夏回族自治区
res_country_city_225,银川市,宁夏回族自治区
res_country_city_226,中卫市,宁夏回族自治区
res_country_city_227,果洛藏族自治州,青海省
res_country_city_228,海北藏族自治州,青海省
res_country_city_229,海东市,青海省
res_country_city_230,海南藏族自治州,青海省
res_country_city_231,海西蒙古族藏族自治州,青海省
